# SAstep                 <H>               error
800           -0.261467           0.0156915
801             -0.2696           0.0182954
802           -0.290545           0.0103772
803           -0.282732           0.0089043
804           -0.258628          0.00877629
805           -0.255216          0.00979771
806           -0.218915           0.0184467
807           -0.267845           0.0102184
808           -0.244297            0.011431
809           -0.250887           0.0147039
810           -0.239729            0.019209
811           -0.188844           0.0166602
812           -0.210332           0.0228742
813           -0.146916           0.0216359
814           -0.209764           0.0223002
815           -0.253025           0.0118318
816           -0.256599             0.01557
817           -0.203527           0.0202719
818           -0.085399            0.028264
819           -0.158347           0.0236026
820           -0.182743           0.0142562
821           -0.179473           0.0196155
822           -0.216536            0.014182
823           -0.263915           0.0129278
824           -0.248759           0.0193057
825           -0.217768           0.0127782
826           -0.239039           0.0141047
827           -0.202048            0.021287
828            -0.20249           0.0223551
829           -0.246201           0.0119526
830           -0.183491           0.0161946
831           -0.246339           0.0169959
832           -0.174331            0.020408
833           -0.195135           0.0181992
834           -0.136299           0.0216722
835           -0.188774           0.0160005
836           -0.261595           0.0136049
837           -0.201014           0.0157517
838           -0.191279           0.0151613
839           -0.152836           0.0186136
840           -0.135446           0.0280069
841           -0.199827            0.018652
842           -0.166162           0.0226569
843           -0.114889           0.0202393
844           -0.103166           0.0232222
845            -0.12391           0.0214934
846           -0.133405           0.0193989
847           -0.181965           0.0229408
848           -0.198174            0.016434
849           -0.236306            0.014186
850           -0.233098            0.015501
851           -0.259446          0.00987612
852           -0.241098           0.0124556
853           -0.249186           0.0164833
854           -0.279295           0.0105153
855           -0.255943           0.0150441
856           -0.271034           0.0102848
857           -0.264749          0.00684935
858           -0.253531          0.00948905
859           -0.264366           0.0106894
860           -0.232807           0.0137499
861           -0.247914            0.016339
862           -0.267286           0.0118232
863           -0.255488           0.0170666
864           -0.262192           0.0103786
865           -0.239712           0.0135072
866           -0.256979          0.00978417
867           -0.267085          0.00860574
868           -0.245151           0.0147951
869           -0.267684          0.00969562
870           -0.272518           0.0122534
871           -0.270336           0.0120952
872           -0.267537           0.0127479
873           -0.262706          0.00663166
874           -0.261574          0.00805616
875            -0.24464          0.00643505
876           -0.251308          0.00590333
877           -0.238416          0.00991118
878           -0.270868          0.00929262
879           -0.252431           0.0124704
880           -0.265587           0.0106923
881           -0.269789           0.0132905
882           -0.256033           0.0167855
883           -0.196254           0.0226034
884           -0.165786           0.0238306
885           -0.201318           0.0171869
886           -0.198995           0.0215531
887           -0.206555           0.0276513
888           -0.219443           0.0187997
889            -0.26966           0.0142632
890           -0.219577           0.0189394
891            -0.21561           0.0311788
892           -0.207493           0.0159119
893           -0.219251            0.014814
894           -0.258087           0.0157851
895            -0.24332           0.0133482
896           -0.265039             0.01155
897           -0.220671           0.0175207
898           -0.246181           0.0137843
899           -0.265296           0.0110903
900           -0.252263           0.0137608
901           -0.281112          0.00721435
902           -0.275414          0.00601962
903           -0.281379          0.00786653
904            -0.28989          0.00793416
905           -0.308503          0.00841001
906           -0.285305          0.00956141
907             -0.2975           0.0124377
908           -0.267756           0.0145978
909           -0.284595           0.0105308
910           -0.283461           0.0115218
911           -0.281892           0.0102438
912           -0.300151          0.00679976
913           -0.306547           0.0066788
914           -0.295337           0.0141137
915           -0.297062          0.00794371
916           -0.295442           0.0102261
917            -0.27297            0.012109
918           -0.289375           0.0107704
919           -0.314441          0.00712028
920            -0.30255          0.00500953
921             -0.3162          0.00730294
922           -0.297556          0.00651623
923           -0.271953          0.00508235
924           -0.280193          0.00768245
925           -0.290021          0.00687223
926           -0.288324          0.00609154
927           -0.290687          0.00564825
928           -0.294805          0.00974021
929           -0.290657          0.00804671
930           -0.291018           0.0141946
931           -0.278622           0.0132687
932           -0.269932           0.0159532
933           -0.263635          0.00988319
934           -0.279937           0.0125363
935           -0.276417          0.00967628
936           -0.282528          0.00890015
937           -0.302312          0.00500547
938           -0.318232           0.0071086
939           -0.330409          0.00698129
940           -0.350091          0.00876838
941           -0.347105          0.00664255
942           -0.360259           0.0060086
943           -0.339116           0.0152624
944           -0.333519           0.0110467
945           -0.347968          0.00959671
946           -0.337314           0.0118874
947           -0.354616           0.0142648
948           -0.378542          0.00882717
949           -0.331762           0.0142073
950           -0.293506           0.0127285
951           -0.260916           0.0150492
952           -0.354831          0.00691694
953           -0.365088          0.00884985
954           -0.350698           0.0102069
955           -0.379153          0.00645936
956           -0.347182          0.00643804
957           -0.242408          0.00719092
958           -0.248316          0.00688345
959            -0.32838          0.00641599
960           -0.273411          0.00539549
961           -0.192621          0.00536349
962           -0.195221          0.00852467
963           -0.228633          0.00830711
964           -0.187759           0.0061265
965           -0.187164          0.00907072
966           -0.215446          0.00673316
967           -0.173667          0.00745925
968           -0.209801           0.0111844
969           -0.217165          0.00569673
970           -0.275038          0.00911234
971           -0.194929           0.0108728
972           -0.218188           0.0103161
973           -0.296549           0.0108061
974            -0.24559           0.0101835
975           -0.207163           0.0135935
976           -0.230315           0.0139712
977           -0.190343           0.0123999
978           -0.239954          0.00821324
979           -0.215924            0.017378
980           -0.298361           0.0107813
981           -0.220675           0.0163033
982           -0.152296           0.0196658
983          -0.0857964           0.0216896
984          -0.0649716            0.025429
985           0.0308743            0.029627
986            0.195923            0.030301
987             0.33213           0.0273574
988            0.218384           0.0351745
989            0.130367           0.0387616
990            0.284779           0.0341984
991            0.143006           0.0230605
992          -0.0399414           0.0296988
993           -0.113971           0.0236208
994           -0.149676           0.0203049
995          -0.0893017           0.0168249
996           -0.051346           0.0195744
997           -0.122445           0.0170132
998          -0.0349878           0.0190047
999          -0.0383076           0.0287267
1000           0.0355073           0.0356831
1001          -0.0998609            0.022495
1002           0.0388175           0.0258087
1003            0.138144           0.0444342
