#mu               sigma
0.387636             0.95497
0.368943            0.975507
0.369972             0.98154
0.370056            0.964393
0.36597             1.00917
0.358814             1.04717
0.393923             1.04475
0.402356             1.05272
0.396379             1.09232
0.358881             1.11893
0.311744             1.08248
0.294878             1.05929
0.308429             1.01908
0.300074            0.989171
0.291645            0.989927
0.319529            0.994392
0.366679            0.995678
0.403194            0.971589
0.364876            0.954592
0.337897            0.973295
0.366984             0.96624
0.37745            0.997229
0.425314             1.03333
0.470647             1.01699
0.46347             1.00955
0.467691             1.04524
0.491759             1.03807
0.519384            0.997173
0.523422            0.979359
0.478824             1.01284
0.458309            0.981304
0.424454             0.98223
0.434957            0.990367
0.407949             1.01837
0.378745            0.972546
0.34452            0.944822
0.334066              0.9519
0.287874            0.926089
0.319859            0.879913
0.284604            0.837255
0.245804            0.843514
0.216104            0.880802
0.234297            0.893027
0.244637            0.878841
0.267304            0.881678
0.239399            0.907315
0.268996            0.877117
0.250177            0.832977
0.25071            0.840033
0.27167            0.818819
0.224333            0.791064
0.228509            0.820469
0.234662            0.790499
0.270429            0.818153
0.263719            0.811678
0.263007            0.849165
0.277426            0.846573
0.27476             0.81207
0.235748            0.850757
0.239041            0.839862
0.218598            0.808042
0.241384            0.783044
0.200628            0.826965
0.20275            0.827537
0.212735            0.793971
0.22407            0.764661
0.265135            0.755913
0.2593            0.773437
0.22496            0.782937
0.200018            0.816807
0.224547            0.787785
0.228591            0.796112
0.267599            0.830055
0.311674            0.808046
0.326473            0.800274
0.371763            0.786926
0.371374            0.802525
0.334246            0.809704
0.291709            0.841419
0.256483             0.80207
0.245261            0.825506
0.292295            0.849996
0.278696            0.853886
0.265306            0.807531
0.265306            0.807531
0.232791            0.785197
0.220125            0.814357
0.246739            0.795595
0.288934            0.835998
0.322596            0.815789
0.326375            0.791237
0.290718            0.773682
0.298418            0.788566
0.330939            0.806112
0.379273            0.818458
0.341432            0.821693
0.323375            0.777743
0.341494            0.808405
0.38113            0.840036
0.339335            0.838458
0.383801            0.872492
0.377227            0.850135
0.363096             0.89936
0.389746            0.929507
0.346493            0.886451
0.329625            0.863551
0.360782            0.904512
0.389581            0.941969
0.416483            0.979206
0.413608            0.970189
0.401797            0.927729
0.436657            0.935123
0.387339             0.94503
0.401874            0.899408
0.395577            0.900837
0.370643             0.89873
0.33484            0.906942
0.307978            0.875164
0.273779            0.853803
0.23533            0.882525
0.259262            0.881533
0.242005            0.852996
0.256594            0.871735
0.280733            0.850856
0.284807            0.862744
0.242783            0.828522
0.232018            0.832851
0.256138            0.830952
0.262809            0.873114
0.271636            0.823681
0.314331            0.816245
0.298306            0.778558
0.25529            0.808073
0.224283            0.770713
0.219407            0.803058
0.236183            0.804537
0.233678             0.81332
0.208211            0.844937
0.200379            0.821101
0.209666            0.796745
0.205507            0.774255
0.235421            0.813343
0.261646            0.823489
0.306752            0.856371
0.300567            0.898828
0.276581             0.88968
0.313863            0.932873
0.333986            0.962469
0.333044            0.956104
0.308078             0.97011
0.291021            0.999843
0.249134            0.965369
0.212949             1.00945
0.201057             1.04862
0.209083             1.03669
0.219514             1.03791
0.2053             1.01368
0.212498              1.0311
0.210958             1.05876
0.258077              1.0243
0.306378            0.997437
0.346384            0.990298
0.324217             1.02517
0.313796             1.00723
0.285884             1.01524
0.250041             1.02911
0.294789             1.06032
0.269412             1.04839
0.29237             1.09215
0.324431             1.09166
0.342825             1.13437
0.317831             1.12889
0.302983             1.12651
0.260857              1.1186
0.226448             1.14527
0.241384             1.19071
0.248792             1.20959
0.20144             1.18363
0.246756             1.17512
0.289581             1.16746
0.246667             1.12248
0.223246             1.11337
0.223246             1.11337
0.232447             1.08616
0.232684             1.08407
0.247637             1.10172
0.278989             1.05495
0.260301             1.01803
0.29314              1.0612
0.315167             1.05449
0.31812             1.03836
0.300032             1.08359
0.309046             1.12985
0.320469             1.12552
0.344872             1.07976
0.296671             1.06103
0.27262             1.10027
0.232945             1.13273
0.236116             1.15825
0.241242             1.15252
0.282383             1.17282
0.239388             1.13938
0.238943             1.09021
0.284919              1.1294
0.316274             1.15405
0.318263             1.11827
0.363362             1.15696
0.335765             1.12545
0.288167             1.09454
0.252642             1.09677
0.259332             1.05868
0.257799             1.03085
0.245832             1.04513
0.247787             1.06235
0.286174              1.1083
0.327279             1.11201
0.366917             1.13451
0.370431             1.08808
0.327959              1.0485
0.355848             1.00284
0.395973            0.996135
0.41641            0.950032
0.437155            0.985791
0.477294             1.01511
0.511274             1.03594
0.52021             1.01073
0.560127            0.983288
0.536092            0.978997
0.48623             1.00096
0.458737             1.00472
0.418002              1.0254
0.393442             1.03893
0.388154            0.990833
0.410576             0.95041
0.401828            0.935199
0.44061            0.937748
0.396342              0.9044
0.403569            0.855187
0.426411            0.830562
0.449099            0.788203
0.487272            0.788865
0.497848            0.763438
0.506449            0.801618
0.515621            0.769473
0.501761            0.818746
0.522996            0.790359
0.549477             0.77756
0.584993            0.778624
0.629031             0.77502
0.642164            0.743023
0.593291            0.710261
0.638826            0.692741
0.602539            0.692261
0.615062            0.683324
0.599142            0.700318
0.569023            0.680087
0.567504            0.683285
0.532446            0.686122
0.4959            0.714567
0.506837            0.696844
0.536902            0.669754
0.491359            0.657826
0.517489            0.683514
0.478801            0.711329
0.523586            0.695057
0.521235            0.669454
0.533487            0.697122
