#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
# Temperatura= 0.5
          11     0.02442   0.0179618  0.00207156
          12       0.013   0.0175483  0.00193975
          13     0.02166   0.0178646  0.00181614
          14     0.00486   0.0169357  0.00190925
          15     0.02158   0.0172453   0.0018069
          16     0.01446   0.0170712  0.00170233
          17      0.0124   0.0167965  0.00162422
          18      0.0008   0.0159078   0.0017604
          19      0.0132   0.0157653  0.00167351
          20     0.01166     0.01556  0.00160237
# Temperatura= 2.8
           1     0.02668     0.02668           0
           2     0.01438     0.02053  0.00434871
           3     0.02946   0.0235067  0.00378312
           4     0.01356     0.02102  0.00356204
           5     0.02286    0.021388  0.00286858
           6      0.0091     0.01934  0.00303474
           7     0.03288   0.0212743  0.00315805
           8     0.03272    0.022705  0.00307032
           9     0.01244   0.0215644  0.00293338
          10      0.0107    0.020478   0.0028341
          11     0.01916   0.0203582  0.00257899
          12      0.0196    0.020295  0.00236485
          13     0.02536   0.0206846   0.0022148
          14     0.01564   0.0203243   0.0020857
          15       8e-05   0.0189747  0.00234297
          16     0.00216   0.0179237  0.00242078
          17     0.01462   0.0177294  0.00228617
          18     0.02682   0.0182344  0.00221424
          19     0.01364   0.0179926  0.00211086
          20      0.0104    0.017613  0.00203917
# Temperatura= 2.9
           1     0.02654     0.02654           0
           2      -0.003     0.01177    0.010444
           3     0.02202   0.0151867  0.00750072
           4      0.0102     0.01394  0.00572821
           5     0.00952    0.013056  0.00465028
           6     0.00112   0.0110667  0.00427964
           7     0.02068     0.01244  0.00388236
           8     0.00938   0.0120575  0.00341586
           9      0.0088   0.0116956  0.00305543
          10     0.01804     0.01233  0.00281499
          11     0.01766   0.0128145  0.00260045
          12     0.01606    0.013085  0.00239777
          13     0.00452   0.0124262  0.00230206
          14     0.01008   0.0122586  0.00214372
          15     0.01564    0.012484  0.00201262
          16      0.0187   0.0128725  0.00192397
          17     0.01822   0.0131871  0.00183633
          18     0.00932   0.0129722  0.00174683
          19    -0.00162   0.0122042  0.00181589
          20     0.01656    0.012422  0.00173811
# Temperatura= 3
           1     0.01678     0.01678           0
           2     0.00294     0.00986  0.00489318
           3     0.02744     0.01572   0.0057909
           4     0.02158    0.017185  0.00452469
           5     0.00946     0.01564  0.00387456
           6     0.01544   0.0156067  0.00322894
           7     0.01386   0.0153571  0.00277729
           8     0.01226     0.01497  0.00245696
           9     0.00702   0.0140867  0.00233737
          10      0.0058    0.013258  0.00224573
          11      0.0063   0.0126255  0.00212879
          12     0.00908     0.01233  0.00197179
          13     0.01048   0.0121877  0.00182524
          14     0.00264   0.0115057  0.00181781
          15     0.00574   0.0111213  0.00173679
          16     0.01402   0.0113025  0.00163766
          17     0.00882   0.0111565  0.00154783
          18      0.0134   0.0112811  0.00146684
          19     0.02168   0.0118284  0.00148825
          20     0.01238    0.011856  0.00141409
