# VELOCITY:     ACTUAL_POFV:     AVE_POFV:        ERROR:
#blocco numero 1
      4.4312    0.043875   0.0224636  0.00440336
     4.61976  0.00186598   0.0201662  0.00448898
     4.80833           0   0.0129478  0.00553896
     4.99689           0   0.0275249   0.0115942
     5.18545           0  0.00440188  0.00152208
     5.37401           0  0.00967011  0.00416639
     5.56257           0    0.013588  0.00514736
#blocco numero 15
   0.0942809 0.000810227  0.00544898  0.00114324
    0.282843   0.0159099   0.0428225  0.00657597
    0.471405   0.0693112    0.131217   0.0226614
    0.659966    0.111296     0.20308   0.0185597
    0.848528    0.340516    0.310538   0.0132029
     1.03709    0.542876    0.423017   0.0140157
     1.22565     0.51609    0.465067   0.0131984
     1.41421    0.424853    0.467913    0.012594
     1.60278    0.515353    0.486946   0.0165153
     1.79134    0.391953    0.455824   0.0103157
      1.9799     0.50865    0.412762   0.0131156
     2.16846    0.544841     0.37094   0.0200129
     2.35702    0.329075    0.328574   0.0181232
     2.54558    0.191925    0.251044   0.0230773
     2.73415     0.24653    0.206218   0.0107749
     2.92271    0.242209    0.165998   0.0117571
     3.11127    0.089174    0.131466   0.0133058
     3.29983    0.051388   0.0868727  0.00630483
     3.48839    0.014093   0.0547075  0.00772978
     3.67696     0.03565   0.0455004  0.00645735
     3.86552   0.0402658   0.0429682  0.00614095
     4.05408   0.0373441   0.0447736  0.00771816
     4.24264   0.0298065   0.0257145  0.00403368
      4.4312  0.00498412   0.0212983   0.0042612
     4.61976  0.00196419   0.0189528  0.00435064
     4.80833  0.00520509   0.0124317  0.00519369
     4.99689  0.00122762   0.0257718    0.010953
     5.18545           0  0.00410842  0.00144862
     5.37401           0  0.00902543  0.00393819
     5.56257           0   0.0126821  0.00488326
#blocco numero 16
   0.0942809  0.00110485  0.00517747  0.00110355
    0.282843    0.028628   0.0419354  0.00622453
    0.471405     0.12534     0.13085    0.021248
    0.659966    0.128139    0.198397    0.017981
    0.848528    0.245302    0.306461    0.012992
     1.03709    0.478034    0.426455   0.0135549
     1.22565    0.436737    0.463296   0.0124917
     1.41421    0.675287    0.480874   0.0172304
     1.60278    0.480513    0.486544    0.015488
     1.79134    0.385545    0.451431   0.0105648
      1.9799    0.572511    0.422746   0.0156411
     2.16846    0.385349     0.37184   0.0187823
     2.35702    0.244517     0.32332   0.0177356
     2.54558    0.225881    0.249472   0.0216885
     2.73415    0.175058    0.204271   0.0102759
     2.92271    0.291804    0.173861   0.0133959
     3.11127    0.132951    0.131559   0.0124745
     3.29983   0.0928323   0.0872451  0.00592177
     3.48839    0.105624   0.0578898  0.00787453
