# VELOCITY:     ACTUAL_POFV:     AVE_POFV:        ERROR:
blocco numero 1
     3.42611  0.00251608 0.000444866 0.000173684
     3.56595           0 0.000237952 0.000121719
     3.70579           0 0.000151048 8.75896e-05
     3.84563           0 0.000107596 8.51875e-05
     3.98547           0 3.93138e-05 3.22174e-05
     4.12531           0 7.24201e-05 6.20895e-05
blocco numero 17
   0.0699206   0.0120176  0.00984427 0.000538273
    0.209762   0.0865069   0.0762692  0.00131398
    0.349603    0.221647    0.204747  0.00391649
    0.489444    0.342949    0.362191    0.004942
    0.629285    0.536488    0.523326  0.00606689
    0.769126    0.679806    0.649176  0.00581261
    0.908968    0.782568    0.746188  0.00535033
     1.04881    0.796472    0.784303   0.0065911
     1.18865    0.732941    0.761687  0.00693137
     1.32849    0.672588    0.705514  0.00713248
     1.46833    0.567939    0.600087  0.00593947
     1.60817    0.491232    0.497974  0.00488805
     1.74801    0.385424    0.386162  0.00492327
     1.88786    0.292892    0.291776  0.00511697
      2.0277    0.200757     0.20509  0.00356314
     2.16754      0.1167    0.137931  0.00302871
     2.30738   0.0945848    0.089132  0.00207943
     2.44722   0.0642594   0.0523294  0.00150133
     2.58706   0.0382047   0.0305163  0.00170035
      2.7269   0.0117859   0.0175055  0.00134367
     2.86674   0.0116534  0.00931262 0.000833386
     3.00659  0.00648884  0.00515096 0.000614599
     3.14643  0.00244987  0.00232329 0.000314089
     3.28627   0.0010594   0.0012522 0.000356781
     3.42611    0.001556 0.000510227 0.000175335
     3.56595           0 0.000223955 0.000115361
     3.70579           0 0.000142163 8.28867e-05
     3.84563           0 0.000101266 8.04113e-05
     3.98547           0 3.70012e-05 3.04052e-05
     4.12531           0 6.81601e-05 5.85831e-05
blocco numero 18
   0.0699206  0.00764756  0.00972223 0.000522021
    0.209762   0.0870366   0.0768674  0.00137039
    0.349603    0.216184    0.205383   0.0037501
    0.489444    0.400024    0.364293  0.00509483
    0.629285    0.583996    0.526696  0.00660005
    0.769126    0.685467    0.651193  0.00582886
    0.908968    0.728505    0.745205  0.00514249
     1.04881    0.746018    0.782176  0.00655913
     1.18865    0.709105    0.758766  0.00713538
     1.32849    0.669774    0.703528  0.00700714
     1.46833    0.623955    0.601413  0.00575561
     1.60817    0.484743    0.497239  0.00467143
     1.74801    0.398832    0.386866   0.0046998
     1.88786    0.254786    0.289721  0.00522908
      2.0277    0.188872    0.204189  0.00347724
     2.16754    0.136497    0.137851  0.00286149
     2.30738    0.091208   0.0892473   0.0019671
     2.44722   0.0576381   0.0526244   0.0014466
     2.58706   0.0391317   0.0309949   0.0016719
      2.7269   0.0176126   0.0175114  0.00126904
     2.86674  0.00900492  0.00929552 0.000787262
     3.00659  0.00546255  0.00516827 0.000580699
     3.14643  0.00211881  0.00231193 0.000296845
     3.28627  0.00340995  0.00137207  0.00035653
     3.42611   0.0010263 0.000538898 0.000167922
     3.56595  0.00036417 0.000231744 0.000109214
     3.70579 0.000463489 0.000160014 8.01812e-05
     3.84563 0.000496595 0.000123229 7.88863e-05
     3.98547 0.000595914 6.80519e-05 4.16556e-05
     4.12531  0.00099319 0.000119551 7.45353e-05
blocco numero 19
   0.0699206   0.0119845   0.0098413 0.000507943
    0.209762   0.0749859   0.0767684  0.00130184
    0.349603    0.201949    0.205202  0.00355708
    0.489444    0.364997     0.36433  0.00482681
    0.629285    0.566814    0.528808  0.00658176
    0.769126    0.679806    0.652698  0.00571331
    0.908968       0.773    0.746668  0.00507564
     1.04881    0.739231    0.779916  0.00659185
     1.18865    0.731054    0.757308  0.00690729
     1.32849    0.726022    0.704712  0.00673761
     1.46833    0.575289    0.600038  0.00561452
     1.60817    0.498217     0.49729  0.00442585
     1.74801    0.395488     0.38732   0.0044743
     1.88786    0.291071    0.289792  0.00495435
      2.0277    0.218237    0.204928  0.00337192
     2.16754    0.138517    0.137886   0.0027111
     2.30738   0.0727346   0.0883782  0.00204657
     2.44722   0.0331063   0.0515971  0.00169644
     2.58706   0.0224461    0.030545  0.00164333
      2.7269   0.0135736   0.0173042  0.00121905
     2.86674  0.00999811   0.0093325 0.000746695
     3.00659  0.00771378  0.00530224 0.000565379
     3.14643  0.00258229  0.00232616 0.000281563
     3.28627 0.000430382  0.00132251 0.000341193
     3.42611 0.000529701 0.000538414 0.000159085
     3.56595  0.00119183 0.000282275 0.000114561
     3.70579           0 0.000151592 7.64022e-05
     3.84563           0 0.000116743 7.50005e-05
     3.98547           0 6.44702e-05 3.96169e-05
     4.12531           0 0.000113259 7.08775e-05
blocco numero 20
   0.0699206   0.0174139   0.0102199 0.000607491
    0.209762   0.0858116   0.0772205  0.00131293
    0.349603    0.227705    0.206327  0.00355273
    0.489444    0.369136     0.36457  0.00459145
    0.629285     0.53811    0.529273  0.00626909
    0.769126    0.679508    0.654039  0.00558268
    0.908968    0.779257    0.748298  0.00507667
     1.04881    0.772967    0.779568  0.00627141
     1.18865    0.771808    0.758033  0.00659987
     1.32849     0.68497    0.703725  0.00647264
     1.46833    0.586843    0.599379  0.00537242
     1.60817    0.460178    0.495435  0.00457706
     1.74801    0.369698    0.386439  0.00433646
     1.88786    0.281735    0.289389  0.00472298
      2.0277    0.186488    0.204006  0.00332699
     2.16754    0.139643    0.137974  0.00257697
     2.30738   0.0707814   0.0874984  0.00212497
     2.44722   0.0544268   0.0517386   0.0016175
     2.58706   0.0340333   0.0307194  0.00157039
      2.7269   0.0154938   0.0172136  0.00116146
     2.86674  0.00821037   0.0092764 0.000711465
     3.00659  0.00602535   0.0053384 0.000538265
     3.14643  0.00877318  0.00264851 0.000412629
     3.28627  0.00195327  0.00135405 0.000325588
     3.42611           0 0.000511493 0.000153391
     3.56595           0 0.000268161 0.000109699
     3.70579           0 0.000144013 7.29571e-05
     3.84563           0 0.000110906 7.14773e-05
     3.98547           0 6.12467e-05  3.7767e-05
     4.12531           0 0.000107596 6.75594e-05
